Work Group,Location Name,Completed Date,Street Segment IDs
LONG LINE, BENNETT AVE /  E ST JOHNS AVE,5/21/2018 14:56, BENNETT AVE (2012012)
LONG LINE, GEORGIAN DR /  W RUNDBERG LN,5/21/2018 14:58, GEORGIAN DR (2010915)
LONG LINE,1100  ANGELINA ST from   ROSEWOOD AVE  to   <br />HACKBERRY ST ,5/21/2018 15:28, ANGELINA ST (2018641)
LONG LINE, N LAMAR BLVD /  W 45TH ST,5/22/2018 15:47, N LAMAR BLVD (2015792)
LONG LINE, GARDEN ST /  WALLER ST,5/23/2018 7:38, GARDEN ST (2019396)
LONG LINE,  W 49TH ST from   BURNET RD  to   <br />WOODROW AVE ,5/25/2018 12:32, W 49TH ST (2015308)
LONG LINE,  E RIVERSIDE DR from   E SH 71 WB  to   <br />MONTOPOLIS DR ,5/31/2018 15:20," E RIVERSIDE DR (2035890)
 E RIVERSIDE DR (2047546)
 E RIVERSIDE DR (2047545)
 E RIVERSIDE DR (3188472)
 E RIVERSIDE DR (3188471)
 E RIVERSIDE DR (3188469)
 E RIVERSIDE DR (2023052)
 E RIVERSIDE DR (2023051)
 E RIVERSIDE DR (2023046)
 E RIVERSIDE DR (2023045)
 E RIVERSIDE DR (2023025)
 E RIVERSIDE DR (2023023)
 E RIVERSIDE DR (2023006)
 E RIVERSIDE DR (2023003)
 E RIVERSIDE DR (2022995)
 E RIVERSIDE DR (2022991)
 E RIVERSIDE DR (3350005)
 E RIVERSIDE DR (5367053)"
LONG LINE,  E RIVERSIDE DR from   FARO DR  to   <br />WICKERSHAM LN ,6/1/2018 6:48," E RIVERSIDE DR (2022860)
 E RIVERSIDE DR (2022857)
 E RIVERSIDE DR (2022848)
 E RIVERSIDE DR (2022833)
 E RIVERSIDE DR (2022825)
 E RIVERSIDE DR (2022822)
 E RIVERSIDE DR (2022882)
 E RIVERSIDE DR (2022880)"
LONG LINE, MELRIDGE PL /  RABB RD,6/4/2018 18:13, AZIE MORTON RD (2021260)
LONG LINE, E 45TH ST /  RED RIVER ST,6/6/2018 7:24," E 45TH ST (2016297)
 E 45TH ST (2016265)
 E 45TH ST (2016377)
 E 45TH ST (2016351)
 RED RIVER ST (2016343)
 E 45TH ST (2016323)"
